age_range,lower,upper,intervention,cancers_averted,doses
10-15,10,15,TT,-2202.0579000000034,0.0
10-20,10,20,TT,672.3264000000054,0.0
10-25,10,25,TT,3610.921400000021,0.0
10-30,10,30,TT,8959.315999999992,0.0
10-35,10,35,TT,26549.339600000007,0.0
10-40,10,40,TT,33763.62890000001,0.0
10-45,10,45,TT,43247.96430000005,0.0
10-50,10,50,TT,57850.29000000004,0.0
10-55,10,55,TT,62069.326500000025,0.0
10-60,10,60,TT,69166.52380000002,0.0
15-20,15,20,TT,781.8626000000004,0.0
15-25,15,25,TT,4339.904599999994,0.0
15-30,15,30,TT,12275.622599999973,0.0
15-35,15,35,TT,27119.68379999997,0.0
15-40,15,40,TT,35667.29490000001,0.0
15-45,15,45,TT,44026.05000000002,0.0
15-50,15,50,TT,52822.94990000001,0.0
15-55,15,55,TT,60365.8475,0.0
15-60,15,60,TT,69011.66220000002,0.0
20-25,20,25,TT,3221.878700000001,0.0
20-30,20,30,TT,12540.020799999998,0.0
20-35,20,35,TT,22579.592000000004,0.0
20-40,20,40,TT,34296.2022,0.0
20-45,20,45,TT,39731.4706,0.0
20-50,20,50,TT,54367.78999999995,0.0
20-55,20,55,TT,59357.357899999944,0.0
20-60,20,60,TT,66907.80919999999,0.0
25-30,25,30,TT,9072.6296,0.0
25-35,25,35,TT,18254.795899999997,0.0
25-40,25,40,TT,29253.75419999998,0.0
25-45,25,45,TT,39474.62689999999,0.0
25-50,25,50,TT,49608.62559999997,0.0
25-55,25,55,TT,55550.02629999997,0.0
25-60,25,60,TT,66061.73569999999,0.0
30-35,30,35,TT,9299.256699999998,0.0
30-40,30,40,TT,20902.55350000001,0.0
30-45,30,45,TT,31742.872900000002,0.0
30-50,30,50,TT,41196.990999999995,0.0
30-55,30,55,TT,48426.38810000001,0.0
30-60,30,60,TT,54280.914899999974,0.0
35-40,35,40,TT,10047.125500000002,0.0
35-45,35,45,TT,21170.72860000001,0.0
35-50,35,50,TT,30073.38780000001,0.0
35-55,35,55,TT,36600.24160000001,0.0
35-60,35,60,TT,42636.06990000002,0.0
40-45,40,45,TT,10235.981199999998,0.0
40-50,40,50,TT,18893.127899999996,0.0
40-55,40,55,TT,25601.2834,0.0
40-60,40,60,TT,33461.45769999999,0.0
45-50,45,50,TT,8940.430499999999,0.0
45-55,45,55,TT,16505.990699999995,0.0
45-60,45,60,TT,22526.7105,0.0
50-55,50,55,TT,7422.03,0.0
50-60,50,60,TT,13559.840299999998,0.0
55-60,55,60,TT,5620.3457,0.0
10-15,10,15,TTV,13201.015099999999,1303157.125
10-20,10,20,TTV,50654.884000000005,3946811.75
10-25,10,25,TTV,92860.36300000001,6536741.5
10-30,10,30,TTV,132338.765,8728306.0
10-35,10,35,TTV,162261.0674,10568327.0
10-40,10,40,TTV,186121.10090000002,12136675.0
10-45,10,45,TTV,202611.98340000003,13387218.0
10-50,10,50,TTV,215979.19150000002,14357882.0
10-55,10,55,TTV,225225.56750000003,15162838.0
10-60,10,60,TTV,231937.49880000006,15802417.0
15-20,15,20,TTV,33416.134099999996,2645249.0
15-25,15,25,TTV,76528.12079999999,5233614.5
15-30,15,30,TTV,113185.01859999998,7434335.0
15-35,15,35,TTV,141350.96319999997,9259957.0
15-40,15,40,TTV,165022.1407,10832861.0
15-45,15,45,TTV,184508.2748,12075093.0
15-50,15,50,TTV,197614.862,13059832.0
15-55,15,55,TTV,206434.424,13869539.0
