age_range,lower,upper,intervention,cancers_averted,doses
15-60,15,60,TTV,212859.29470000003,14497854.0
20-25,20,25,TTV,35047.8477,2606495.75
20-30,20,30,TTV,71481.8961,4786018.5
20-35,20,35,TTV,100127.53390000001,6609541.5
20-40,20,40,TTV,125030.0512,8188345.0
20-45,20,45,TTV,142208.3683,9453134.0
20-50,20,50,TTV,155167.64809999996,10427320.0
20-55,20,55,TTV,163246.89589999997,11223369.0
20-60,20,60,TTV,170491.40029999998,11871476.0
25-30,25,30,TTV,30881.689999999995,2189275.5
25-35,25,35,TTV,59984.358700000004,4022550.75
25-40,25,40,TTV,83402.4699,5571394.0
25-45,25,45,TTV,101574.16829999998,6836176.0
25-50,25,50,TTV,113332.32599999997,7820915.5
25-55,25,55,TTV,121978.14079999998,8634823.0
25-60,25,60,TTV,130469.09289999996,9249049.0
30-35,30,35,TTV,24898.7403,1839847.25
30-40,30,40,TTV,47946.69420000001,3415757.75
30-45,30,45,TTV,66454.5559,4643712.5
30-50,30,50,TTV,78556.4307,5620987.0
30-55,30,55,TTV,88006.7708,6435756.0
30-60,30,60,TTV,94658.26859999998,7049212.0
35-40,35,40,TTV,20796.793700000002,1574920.5
35-45,35,45,TTV,38292.38870000001,2817281.25
35-50,35,50,TTV,50839.96320000001,3796717.0
35-55,35,55,TTV,59410.235400000005,4575482.5
35-60,35,60,TTV,65699.13030000002,5206290.5
40-45,40,45,TTV,15527.7185,1247391.75
40-50,40,50,TTV,28419.010199999997,2224621.75
40-55,40,55,TTV,37438.7593,3024539.0
40-60,40,60,TTV,43844.74459999999,3646085.75
45-50,45,50,TTV,11682.615199999998,978748.4375
45-55,45,55,TTV,21072.521499999995,1772448.375
45-60,45,60,TTV,27270.7654,2387483.5
50-55,50,55,TTV,8687.363,776642.625
50-60,50,60,TTV,15010.251799999996,1407798.25
55-60,55,60,TTV,6228.4609,627680.75
10-15,10,15,V,13295.442999999997,1303157.125
10-20,10,20,V,50537.793300000005,3946811.75
10-25,10,25,V,88694.20580000003,6536741.5
10-30,10,30,V,118571.1828,8728306.0
10-35,10,35,V,138604.9989,10568327.0
10-40,10,40,V,151035.483,12136675.0
10-45,10,45,V,158839.00180000003,13387218.0
10-50,10,50,V,162872.9594,14357882.0
10-55,10,55,V,162857.85120000006,15162838.0
10-60,10,60,V,164213.83560000005,15802417.0
15-20,15,20,V,32079.0356,2645249.0
15-25,15,25,V,71013.5339,5233614.5
15-30,15,30,V,98892.41759999997,7434335.0
15-35,15,35,V,120399.30809999997,9259957.0
15-40,15,40,V,131590.89889999997,10832861.0
15-45,15,45,V,140244.2687,12075093.0
15-50,15,50,V,144463.30529999998,13059832.0
15-55,15,55,V,143926.9547,13869539.0
15-60,15,60,V,144625.72100000002,14497854.0
20-25,20,25,V,30639.955,2606495.75
20-30,20,30,V,59595.3163,4786018.5
20-35,20,35,V,79950.1873,6609541.5
20-40,20,40,V,91462.8327,8188345.0
20-45,20,45,V,99081.27289999998,9453134.0
20-50,20,50,V,104595.85989999995,10427320.0
20-55,20,55,V,104799.82409999997,11223369.0
20-60,20,60,V,104554.31119999997,11871476.0
25-30,25,30,V,23429.4426,2189275.5
25-35,25,35,V,42250.8052,4022550.75
25-40,25,40,V,55051.446699999986,5571394.0
25-45,25,45,V,62065.548399999985,6836176.0
25-50,25,50,V,66243.03699999998,7820915.5
25-55,25,55,V,66613.19399999999,8634823.0
25-60,25,60,V,67659.45459999997,9249049.0
30-35,30,35,V,15048.0249,1839847.25
30-40,30,40,V,28222.600800000015,3415757.75
30-45,30,45,V,34130.0082,4643712.5
30-50,30,50,V,39025.148299999986,5620987.0
30-55,30,55,V,39788.12539999999,6435756.0
30-60,30,60,V,40909.928499999995,7049212.0
35-40,35,40,V,9797.835400000004,1574920.5
35-45,35,45,V,16653.29850000001,2817281.25
35-50,35,50,V,20113.13520000002,3796717.0
35-55,35,55,V,21095.184900000022,4575482.5
35-60,35,60,V,22723.12120000001,5206290.5
40-45,40,45,V,5465.484700000001,1247391.75
40-50,40,50,V,9163.279799999997,2224621.75
40-55,40,55,V,10379.510599999994,3024539.0
40-60,40,60,V,10685.4568,3646085.75
45-50,45,50,V,2987.6974999999984,978748.4375
45-55,45,55,V,4287.024799999996,1772448.375
45-60,45,60,V,4581.6397,2387483.5
50-55,50,55,V,1121.8029999999999,776642.625
50-60,50,60,V,1756.3580999999976,1407798.25
55-60,55,60,V,385.2655999999988,627680.75
