coverage,location,scenario,metric,value,low,high
30,kenya,No interventions,cancers,943730.6245,928032.9423,959428.3067
30,kenya,No interventions,cancer_deaths,733538.0934,721826.0175,745250.1693
30,kenya,No interventions,vaccinations,0.0000,,
30,kenya,Baseline,cancers,354806.9155,346575.8329,363037.9981
30,kenya,Baseline,cancer_deaths,308106.6765,300026.6750,316186.6781
30,kenya,Baseline,vaccinations,0.0000,,
30,kenya,Catch-up 10-15: TTV,cancers,351071.3486,343338.8436,358803.8536
30,kenya,Catch-up 10-15: TTV,cancer_deaths,304646.8375,296947.5691,312346.1059
30,kenya,Catch-up 10-15: TTV,vaccinations,439671.1875,,
30,kenya,Catch-up 10-15: V,cancers,350342.3660,343193.0476,357491.6844
30,kenya,Catch-up 10-15: V,cancer_deaths,303940.5175,297156.8207,310724.2143
30,kenya,Catch-up 10-15: V,vaccinations,439671.1875,,
30,kenya,Catch-up 10-15: TT,cancers,361628.3819,354176.8925,369079.8712
30,kenya,Catch-up 10-15: TT,cancer_deaths,313560.8263,305776.9494,321344.7031
30,kenya,Catch-up 10-15: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-20: TTV,cancers,330576.7351,323557.3476,337596.1226
30,kenya,Catch-up 10-20: TTV,cancer_deaths,288329.7086,282171.5028,294487.9144
30,kenya,Catch-up 10-20: TTV,vaccinations,1356369.2500,,
30,kenya,Catch-up 10-20: V,cancers,335694.7216,328702.5308,342686.9123
30,kenya,Catch-up 10-20: V,cancer_deaths,291457.1572,285443.9920,297470.3224
30,kenya,Catch-up 10-20: V,vaccinations,1356369.2500,,
30,kenya,Catch-up 10-20: TT,cancers,354795.5822,347141.6421,362449.5223
30,kenya,Catch-up 10-20: TT,cancer_deaths,307672.3071,301172.6510,314171.9633
30,kenya,Catch-up 10-20: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-25: TTV,cancers,318610.8375,312262.2667,324959.4082
30,kenya,Catch-up 10-25: TTV,cancer_deaths,278290.1388,272536.8387,284043.4389
30,kenya,Catch-up 10-25: TTV,vaccinations,2252610.5000,,
30,kenya,Catch-up 10-25: V,cancers,315581.5942,308465.5127,322697.6757
30,kenya,Catch-up 10-25: V,cancer_deaths,274973.8331,268622.2395,281325.4268
30,kenya,Catch-up 10-25: V,vaccinations,2252610.5000,,
30,kenya,Catch-up 10-25: TT,cancers,352959.9066,344973.5802,360946.2330
30,kenya,Catch-up 10-25: TT,cancer_deaths,306950.8760,300998.1452,312903.6068
30,kenya,Catch-up 10-25: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-30: TTV,cancers,301542.0656,294259.7919,308824.3392
30,kenya,Catch-up 10-30: TTV,cancer_deaths,264269.4935,257597.6004,270941.3866
30,kenya,Catch-up 10-30: TTV,vaccinations,2992954.7500,,
30,kenya,Catch-up 10-30: V,cancers,306206.8000,299006.1120,313407.4880
30,kenya,Catch-up 10-30: V,cancer_deaths,268367.6623,263288.2005,273447.1242
30,kenya,Catch-up 10-30: V,vaccinations,2992954.7500,,
30,kenya,Catch-up 10-30: TT,cancers,352778.6057,345058.1874,360499.0240
30,kenya,Catch-up 10-30: TT,cancer_deaths,306017.9293,298950.1943,313085.6643
30,kenya,Catch-up 10-30: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-35: TTV,cancers,289678.1527,281510.5240,297845.7814
30,kenya,Catch-up 10-35: TTV,cancer_deaths,255208.1990,248376.1567,262040.2413
30,kenya,Catch-up 10-35: TTV,vaccinations,3597157.2500,,
30,kenya,Catch-up 10-35: V,cancers,299747.9354,290951.7958,308544.0751
30,kenya,Catch-up 10-35: V,cancer_deaths,263015.4916,255594.2190,270436.7643
30,kenya,Catch-up 10-35: V,vaccinations,3597157.2500,,
30,kenya,Catch-up 10-35: TT,cancers,348514.2444,340845.1943,356183.2945
30,kenya,Catch-up 10-35: TT,cancer_deaths,302811.1607,296199.7006,309422.6208
30,kenya,Catch-up 10-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-40: TTV,cancers,281349.6189,273638.2661,289060.9717
30,kenya,Catch-up 10-40: TTV,cancer_deaths,247291.3701,240483.5029,254099.2374
30,kenya,Catch-up 10-40: TTV,vaccinations,4121587.0000,,
30,kenya,Catch-up 10-40: V,cancers,298052.0122,291186.7317,304917.2927
30,kenya,Catch-up 10-40: V,cancer_deaths,262479.1412,255196.8665,269761.4160
