age_range,lower,upper,intervention,cancers_averted,doses
20-40,20,40,TTV,101936.77269999999,6427681.0
20-45,20,45,TTV,117596.69009999999,7381205.0
20-50,20,50,TTV,127791.12269999998,8143729.5
20-55,20,55,TTV,134748.56699999998,8796936.0
20-60,20,60,TTV,140705.0763,9218266.0
25-30,25,30,TTV,24600.348499999996,1739920.0
25-35,25,35,TTV,47334.8021,3137459.75
25-40,25,40,TTV,67447.93809999998,4361962.0
25-45,25,45,TTV,83009.6504,5349625.0
25-50,25,50,TTV,92524.20229999998,6119400.5
25-55,25,55,TTV,100119.97959999998,6744648.5
25-60,25,60,TTV,104610.96789999996,7219364.5
30-35,30,35,TTV,19769.4187,1468489.125
30-40,30,40,TTV,39402.86100000001,2682702.75
30-45,30,45,TTV,52785.178400000004,3616662.5
30-50,30,50,TTV,62016.4464,4389958.0
30-55,30,55,TTV,69608.4464,5029280.0
30-60,30,60,TTV,75772.69699999999,5502824.5
35-40,35,40,TTV,15686.357600000003,1255437.125
35-45,35,45,TTV,30277.35180000001,2210465.25
35-50,35,50,TTV,39739.023600000015,2969786.0
35-55,35,55,TTV,46843.776,3580228.0
35-60,35,60,TTV,51432.96970000001,4059815.75
40-45,40,45,TTV,12354.9422,981906.0625
40-50,40,50,TTV,21767.511799999993,1758722.5
40-55,40,55,TTV,29299.078199999996,2374006.75
40-60,40,60,TTV,34152.66969999999,2836189.5
45-50,45,50,TTV,9431.455099999997,778145.875
45-55,45,55,TTV,15912.983699999997,1407775.75
45-60,45,60,TTV,21801.5046,1883012.125
50-55,50,55,TTV,7014.101699999999,620096.375
50-60,50,60,TTV,11520.198799999998,1110592.25
55-60,55,60,TTV,4842.2603,501532.75
10-15,10,15,V,10281.305799999998,1034959.4375
10-20,10,20,V,40637.9768,3092383.5
10-25,10,25,V,74998.38940000001,5118918.5
10-30,10,30,V,102231.3861,6830804.5
10-35,10,35,V,118461.64829999999,8248809.0
10-40,10,40,V,132467.1888,9479461.0
10-45,10,45,V,138759.86210000003,10380370.0
10-50,10,50,V,142869.36250000005,11205851.0
10-55,10,55,V,143700.3277,11872028.0
10-60,10,60,V,144055.37600000005,12251077.0
15-20,15,20,V,26220.730799999998,2092944.25
15-25,15,25,V,60841.764599999995,4098992.0
15-30,15,30,V,85925.58359999997,5817995.0
15-35,15,35,V,103164.33489999997,7241173.0
15-40,15,40,V,116882.81549999997,8453121.0
15-45,15,45,V,120512.6224,9387245.0
15-50,15,50,V,123266.1391,10203126.0
15-55,15,55,V,126280.2762,10859822.0
15-60,15,60,V,126318.04720000006,11250081.0
20-25,20,25,V,25419.982500000002,2060846.25
20-30,20,30,V,49555.7457,3737333.5
20-35,20,35,V,65755.7908,5174940.5
20-40,20,40,V,77759.46109999999,6427681.0
20-45,20,45,V,84361.85729999997,7381205.0
20-50,20,50,V,87976.55589999998,8143729.5
20-55,20,55,V,89555.38999999998,8796936.0
20-60,20,60,V,89105.91309999995,9218266.0
25-30,25,30,V,18122.5965,1739920.0
25-35,25,35,V,34451.063500000004,3137459.75
25-40,25,40,V,45098.74979999999,4361962.0
25-45,25,45,V,51221.452499999985,5349625.0
25-50,25,50,V,54065.619599999976,6119400.5
25-55,25,55,V,55436.712299999985,6744648.5
25-60,25,60,V,56411.20749999996,7219364.5
30-35,30,35,V,12113.206899999997,1468489.125
30-40,30,40,V,22719.345000000016,2682702.75
30-45,30,45,V,27047.918399999995,3616662.5
30-50,30,50,V,30553.080399999977,4389958.0
30-55,30,55,V,32332.101399999985,5029280.0
30-60,30,60,V,33525.669699999984,5502824.5
35-40,35,40,V,7999.928900000003,1255437.125
35-45,35,45,V,12732.653500000015,2210465.25
35-50,35,50,V,16109.39390000001,2969786.0
35-55,35,55,V,16883.70240000001,3580228.0
35-60,35,60,V,16581.53320000002,4059815.75
40-45,40,45,V,4245.4768,981906.0625
40-50,40,50,V,6368.215099999994,1758722.5
40-55,40,55,V,8294.543400000002,2374006.75
40-60,40,60,V,9004.640999999989,2836189.5
45-50,45,50,V,1914.9969999999994,778145.875
45-55,45,55,V,3082.125399999997,1407775.75
45-60,45,60,V,3558.0417000000016,1883012.125
50-55,50,55,V,766.7542999999987,620096.375
50-60,50,60,V,974.4954999999973,1110592.25
55-60,55,60,V,298.39190000000053,501532.75
