age_range,lower,upper,intervention,cancers_averted,doses
10-15,10,15,TT,-268.1751000000004,0.0
10-20,10,20,TT,-600.5613000000012,0.0
10-25,10,25,TT,5129.321600000025,0.0
10-30,10,30,TT,10073.565100000007,0.0
10-35,10,35,TT,15240.657999999996,0.0
10-40,10,40,TT,29144.21770000001,0.0
10-45,10,45,TT,32252.78370000003,0.0
10-50,10,50,TT,44532.18340000004,0.0
10-55,10,55,TT,44747.47880000004,0.0
10-60,10,60,TT,57668.987700000056,0.0
15-20,15,20,TT,-823.4112000000023,0.0
15-25,15,25,TT,3746.8977999999915,0.0
15-30,15,30,TT,10557.035599999974,0.0
15-35,15,35,TT,15811.002299999993,0.0
15-40,15,40,TT,26942.159799999994,0.0
15-45,15,45,TT,34639.91990000004,0.0
15-50,15,50,TT,40785.285599999974,0.0
15-55,15,55,TT,51425.41749999998,0.0
15-60,15,60,TT,51818.23680000001,0.0
20-25,20,25,TT,1586.3881000000038,0.0
20-30,20,30,TT,9809.166899999997,0.0
20-35,20,35,TT,17793.987900000007,0.0
20-40,20,40,TT,23044.17749999999,0.0
20-45,20,45,TT,30662.617999999988,0.0
20-50,20,50,TT,41650.24489999999,0.0
20-55,20,55,TT,43969.39320000002,0.0
20-60,20,60,TT,52921.15439999994,0.0
25-30,25,30,TT,5933.847299999994,0.0
25-35,25,35,TT,12407.8223,0.0
25-40,25,40,TT,21491.783599999995,0.0
25-45,25,45,TT,30409.55169999998,0.0
25-50,25,50,TT,35769.27759999994,0.0
25-55,25,55,TT,43871.18849999996,0.0
25-60,25,60,TT,44211.128,0.0
30-35,30,35,TT,9291.7025,0.0
30-40,30,40,TT,14209.506200000018,0.0
30-45,30,45,TT,22904.424400000004,0.0
30-50,30,50,TT,31112.09479999999,0.0
30-55,30,55,TT,36479.37450000002,0.0
30-60,30,60,TT,39859.89189999997,0.0
35-40,35,40,TT,7236.952100000002,0.0
35-45,35,45,TT,16064.06960000001,0.0
35-50,35,50,TT,23561.642200000017,0.0
35-55,35,55,TT,29348.18190000001,0.0
35-60,35,60,TT,33529.44720000001,0.0
40-45,40,45,TT,7682.651600000001,0.0
40-50,40,50,TT,15414.405499999993,0.0
40-55,40,55,TT,21797.729,0.0
40-60,40,60,TT,25404.873099999997,0.0
45-50,45,50,TT,7293.6084999999985,0.0
45-55,45,55,TT,12834.635799999996,0.0
45-60,45,60,TT,16944.136,0.0
50-55,50,55,TT,6220.907799999999,0.0
50-60,50,60,TT,10088.6727,0.0
55-60,55,60,TT,4407.892199999999,0.0
10-15,10,15,TTV,11199.144699999997,1034959.4375
10-20,10,20,TTV,43935.397600000004,3092383.5
10-25,10,25,TTV,80841.58540000001,5118918.5
10-30,10,30,TTV,111258.6902,6830804.5
10-35,10,35,TTV,139707.9178,8248809.0
10-40,10,40,TTV,157671.8759,9479461.0
10-45,10,45,TTV,170419.6379,10380370.0
10-50,10,50,TTV,184353.41350000002,11205851.0
10-55,10,55,TTV,191816.99140000006,11872028.0
10-60,10,60,TTV,196965.19800000006,12251077.0
15-20,15,20,TTV,26538.008299999998,2092944.25
15-25,15,25,TTV,63236.45519999999,4098992.0
15-30,15,30,TTV,94824.46569999997,5817995.0
15-35,15,35,TTV,121513.55819999997,7241173.0
15-40,15,40,TTV,142487.8762,8453121.0
15-45,15,45,TTV,155598.2411,9387245.0
15-50,15,50,TTV,165547.1611,10203126.0
15-55,15,55,TTV,173482.8789,10859822.0
15-60,15,60,TTV,178381.7953,11250081.0
20-25,20,25,TTV,28415.2344,2060846.25
20-30,20,30,TTV,59081.628899999996,3737333.5
20-35,20,35,TTV,85189.0458,5174940.5
