coverage_pct,cancers_baseline,cancers_scenario,cancers_averted,pct_averted,pct_averted_low,pct_averted_high
10,349670.1281633377,326943.22886037827,22726.89930295944,6.499525544928238,3.650842068404843,9.437925835705736
20,349670.1281633377,305817.8257908821,43852.3023724556,12.54104907467856,10.211976146637545,14.943474133621928
30,349670.1281633377,285157.0080251694,64513.120138168335,18.449708723197823,15.368383673566576,21.628077431562136
40,349670.1281633377,269727.4945487976,79942.6336145401,22.862299972389216,19.746798768713983,26.07592118311404
50,349670.1281633377,254996.7478795052,94673.38028383256,27.0750552187886,23.917365981889787,30.3321931382363
60,349670.1281633377,240530.3989310265,109139.72923231123,31.21219699422822,28.118993444926332,34.40281830530318
70,349670.1281633377,230505.93689346316,119164.19126987456,34.079030970072075,31.449235193694847,36.79164988251895
80,349670.1281633377,217312.47626018524,132357.65190315247,37.85214727902797,34.79458141001589,41.00600853199568
90,349670.1281633377,208553.34862852097,141116.77953481674,40.35711608424794,37.0834575377074,43.73387566611648
