age_range,lower,upper,intervention,cancers_averted,doses
10-15,10,15,TT,-181.30148267745972,0.0
10-20,10,20,TT,747.8701872825623,0.0
10-25,10,25,TT,-1518.3935995101929,0.0
10-30,10,30,TT,5986.725482463837,0.0
10-35,10,35,TT,12336.047028541565,0.0
10-40,10,40,TT,15433.286310195923,0.0
10-45,10,45,TT,25548.403653621674,0.0
10-50,10,50,TT,36581.34714508057,0.0
10-55,10,55,TT,51931.537789821625,0.0
10-60,10,60,TT,62020.20859050751,0.0
15-20,15,20,TT,-1057.588608264923,0.0
15-25,15,25,TT,2738.405436038971,0.0
15-30,15,30,TT,5748.761192321777,0.0
15-35,15,35,TT,14330.366144657135,0.0
15-40,15,40,TT,20226.43751192093,0.0
15-45,15,45,TT,30896.783527851105,0.0
15-50,15,50,TT,41419.81636571884,0.0
15-55,15,55,TT,51538.71857738495,0.0
15-60,15,60,TT,60403.60560178757,0.0
20-25,20,25,TT,3040.5756311416626,0.0
20-30,20,30,TT,6806.352477550507,0.0
20-35,20,35,TT,15758.099870681763,0.0
20-40,20,40,TT,18519.187292099,0.0
20-45,20,45,TT,31119.625669002533,0.0
20-50,20,50,TT,39980.75013780594,0.0
20-55,20,55,TT,49789.904279232025,0.0
20-60,20,60,TT,61313.88210630417,0.0
25-30,25,30,TT,2126.5171065330505,0.0
25-35,25,35,TT,9261.476305484772,0.0
25-40,25,40,TT,16657.064705371857,0.0
25-45,25,45,TT,24940.273455619812,0.0
25-50,25,50,TT,36671.99300479889,0.0
25-55,25,55,TT,49608.605303287506,0.0
25-60,25,60,TT,56498.06913614273,0.0
30-35,30,35,TT,5265.293709278107,0.0
30-40,30,40,TT,12392.707162857056,0.0
30-45,30,45,TT,20532.391488552094,0.0
30-50,30,50,TT,31682.429021835327,0.0
30-55,30,55,TT,43908.947836875916,0.0
30-60,30,60,TT,50345.15669488907,0.0
35-40,35,40,TT,7025.430606365204,0.0
35-45,35,45,TT,16086.72802734375,0.0
35-50,35,50,TT,25412.422558784485,0.0
35-55,35,55,TT,36177.202338695526,0.0
35-60,35,60,TT,46099.681500434875,0.0
40-45,40,45,TT,8691.139818668365,0.0
40-50,40,50,TT,17537.142917633057,0.0
40-55,40,55,TT,27905.322631835938,0.0
40-60,40,60,TT,36366.060077667236,0.0
45-50,45,50,TT,9495.66659116745,0.0
45-55,45,55,TT,19229.291640281677,0.0
45-60,45,60,TT,28029.969113349915,0.0
50-55,50,55,TT,10371.957344532013,0.0
50-60,50,60,TT,19882.73240995407,0.0
55-60,55,60,TT,9061.29840517044,0.0
10-15,10,15,TTV,23149.935441493988,1288003.375
10-20,10,20,TTV,90915.09068918228,3960092.5
10-25,10,25,TTV,171824.59205961227,6563370.0
10-30,10,30,TTV,245697.34730625153,8755682.0
10-35,10,35,TTV,309356.8084292412,10636043.0
10-40,10,40,TTV,363958.76659727097,12238922.0
10-45,10,45,TTV,399780.9215927124,13513290.0
10-50,10,50,TTV,432207.4510335922,14471604.0
10-55,10,55,TTV,452003.30940294266,15176473.0
10-60,10,60,TTV,466877.5869112015,15751910.0
15-20,15,20,TTV,57219.45107316971,2655507.5
15-25,15,25,TTV,137335.7584924698,5284447.0
15-30,15,30,TTV,210343.5548605919,7471894.5
15-35,15,35,TTV,276008.6636686325,9328346.0
15-40,15,40,TTV,326089.4160108566,10937314.0
15-45,15,45,TTV,367252.41050958633,12210911.0
15-50,15,50,TTV,394712.03477334976,13165553.0
15-55,15,55,TTV,415225.5448465347,13871956.0
15-60,15,60,TTV,428060.180437088,14444409.0
20-25,20,25,TTV,63440.345910549164,2622261.5
20-30,20,30,TTV,134578.47026395798,4830883.5
20-35,20,35,TTV,198188.82925271988,6683195.0
20-40,20,40,TTV,249999.5002117157,8247426.5
20-45,20,45,TTV,292295.62915182114,9529001.0
20-50,20,50,TTV,321266.099216938,10495550.0
20-55,20,55,TTV,342104.4407696724,11200789.0
20-60,20,60,TTV,355822.9215974808,11790307.0
25-30,25,30,TTV,57937.10816669464,2216999.5
25-35,25,35,TTV,118401.13058757782,4078150.0
25-40,25,40,TTV,168984.2392091751,5654860.5
25-45,25,45,TTV,209014.09946537018,6905101.0
25-50,25,50,TTV,239370.7705450058,7856669.0
25-55,25,55,TTV,257682.22286891937,8558895.0
25-60,25,60,TTV,272322.3192744255,9139014.0
30-35,30,35,TTV,48229.94761991501,1865985.0
30-40,30,40,TTV,98593.98350334167,3460969.5
30-45,30,45,TTV,138333.00585269928,4711255.0
30-50,30,50,TTV,165973.9314661026,5666540.0
30-55,30,55,TTV,186593.20087003708,6362714.5
30-60,30,60,TTV,198536.4372396469,6929342.5
35-40,35,40,TTV,40449.10955905914,1581885.5
35-45,35,45,TTV,78174.92984056473,2848155.5
35-50,35,50,TTV,105694.98777294159,3811621.75
35-55,35,55,TTV,126457.78731012344,4505553.0
35-60,35,60,TTV,138295.26493930817,5083429.0
40-45,40,45,TTV,31353.82764816284,1249416.25
40-50,40,50,TTV,58224.22192621231,2212376.75
40-55,40,55,TTV,77721.68812274933,2928003.5
40-60,40,60,TTV,90594.09510278702,3499904.25
45-50,45,50,TTV,22386.959199905396,951349.1875
45-55,45,55,TTV,42061.94978284836,1670987.5
45-60,45,60,TTV,55145.875052928925,2243613.25
50-55,50,55,TTV,17291.631304740906,722977.3125
50-60,50,60,TTV,29748.5555062294,1283131.0
55-60,55,60,TTV,11758.158037185669,570238.4375
10-15,10,15,V,23376.56232738495,1288003.375
10-20,10,20,V,89834.83578968048,3960092.5
10-25,10,25,V,167446.91618013382,6563370.0
10-30,10,30,V,238373.52219057083,8755682.0
10-35,10,35,V,295472.1354146004,10636043.0
10-40,10,40,V,342485.87042045593,12238922.0
