age_range,lower,upper,intervention,cancers_averted,doses
10-45,10,45,V,377303.31240320206,13513290.0
10-50,10,50,V,395078.41411304474,14471604.0
10-55,10,55,V,404800.707007885,15176473.0
10-60,10,60,V,408434.29107666016,15751910.0
15-20,15,20,V,56860.62529087067,2655507.5
15-25,15,25,V,134484.03710889816,5284447.0
15-30,15,30,V,203688.27913045883,7471894.5
15-35,15,35,V,264288.2777066231,9328346.0
15-40,15,40,V,309273.70217466354,10937314.0
15-45,15,45,V,339823.0040707588,12210911.0
15-50,15,50,V,359343.13301563263,13165553.0
15-55,15,55,V,368181.5812702179,13871956.0
15-60,15,60,V,371970.0272965431,14444409.0
20-25,20,25,V,62269.4406080246,2622261.5
20-30,20,30,V,129777.7581243515,4830883.5
20-35,20,35,V,189078.42923116684,6683195.0
20-40,20,40,V,234490.66774320602,8247426.5
20-45,20,45,V,265988.0254802704,9529001.0
20-50,20,50,V,284877.37631320953,10495550.0
20-55,20,55,V,293039.721098423,11200789.0
20-60,20,60,V,294399.48233127594,11790307.0
25-30,25,30,V,53608.53489112854,2216999.5
25-35,25,35,V,108633.51239347458,4078150.0
25-40,25,40,V,154000.42522716522,5654860.5
25-45,25,45,V,187167.26801156998,6905101.0
25-50,25,50,V,205138.7797141075,7856669.0
25-55,25,55,V,212783.6597776413,8558895.0
25-60,25,60,V,218483.32590198517,9139014.0
30-35,30,35,V,43784.28369617462,1865985.0
30-40,30,40,V,87187.0971031189,3460969.5
30-45,30,45,V,117358.68768072128,4711255.0
30-50,30,50,V,135930.7606678009,5666540.0
30-55,30,55,V,144644.56457471848,6362714.5
30-60,30,60,V,150196.92269325256,6929342.5
35-40,35,40,V,34028.014384269714,1581885.5
35-45,35,45,V,63342.2001247406,2848155.5
35-50,35,50,V,81366.59143304825,3811621.75
35-55,35,55,V,90597.85977172852,4505553.0
35-60,35,60,V,93774.41309261322,5083429.0
40-45,40,45,V,22794.885471343994,1249416.25
40-50,40,50,V,39750.353474617004,2212376.75
40-55,40,55,V,49223.357144355774,2928003.5
40-60,40,60,V,53245.98411798477,3499904.25
45-50,45,50,V,13023.49154806137,951349.1875
45-55,45,55,V,21763.73494052887,1670987.5
45-60,45,60,V,25431.31312227249,2243613.25
50-55,50,55,V,6855.463180065155,722977.3125
50-60,50,60,V,10013.130990505219,1283131.0
55-60,55,60,V,2356.919424057007,570238.4375
