year,routine_vax_0_10,macs_10_15,additional_15_85,future_cancers,total_cancers
2025.0,0.0,0.0,5982.944667816162,30.21951675415039,6013.1641845703125
2026.0,0.0,0.0,6156.691468238831,22.666197776794434,6179.357666015625
2027.0,0.0,0.0,6836.570481300354,45.330275535583496,6881.9007568359375
2028.0,0.0,7.554226875305176,7108.521892547607,0.005301475524902344,7116.0814208984375
2029.0,0.0,7.554226875305176,7342.703468322754,0.004878044128417969,7350.2625732421875
2030.0,0.0,7.554226875305176,7773.292441368103,0.006603240966796875,7780.853271484375
2031.0,0.0,0.0,7743.076378822327,0.005530357360839844,7743.0819091796875
2032.0,0.0,0.0,8218.992025375366,0.0061435699462890625,8218.998168945312
2033.0,0.0,45.32536220550537,9208.59171295166,0.010415077209472656,9253.927490234375
2034.0,0.0,22.662680625915527,8196.328060150146,0.007306098937988281,8218.998046875
2035.0,0.0,60.43381690979004,8823.327598571777,0.008604049682617188,8883.77001953125
2036.0,7.554226875305176,113.31340217590332,9382.338075637817,0.010603904724121094,9503.21630859375
2037.0,0.0,67.98804187774658,9639.181377410889,0.011733055114746094,9707.18115234375
2038.0,83.09649467468262,287.0606117248535,10658.997817993164,0.016218185424804688,11029.171142578125
2039.0,52.87958908081055,264.39793395996094,10643.890007019043,0.015331268310546875,10961.182861328125
2040.0,37.77113437652588,294.61484146118164,11142.46745300293,0.01693248748779297,11474.870361328125
2041.0,60.43381595611572,287.0606117248535,10825.191497802734,0.015490531921386719,11172.701416015625
2042.0,98.20495223999023,211.51834106445312,12033.864669799805,0.018482208251953125,12343.6064453125
2043.0,302.16907119750977,611.8924713134766,11421.972259521484,7.572643280029297,12343.6064453125
2044.0,415.48246479034424,702.5432739257812,11731.692810058594,7.575640678405762,12857.294189453125
2045.0,355.04865646362305,657.2178497314453,12064.078170776367,7.576221466064453,13083.9208984375
2046.0,332.38597202301025,725.2059631347656,12766.618606567383,7.578032493591309,13831.78857421875
2047.0,317.27752113342285,702.5432281494141,12902.596008300781,0.023183822631835938,13922.43994140625
2048.0,966.9411506652832,1004.7124786376953,12736.399810791016,68.01369857788086,14776.067138671875
2049.0,951.8327140808105,1065.1462707519531,13038.56820678711,30.242359161376953,15085.78955078125
2050.0,921.6158561706543,1080.2547454833984,13416.278259277344,113.34039688110352,15531.4892578125
2051.0,785.6397132873535,1034.9293670654297,13454.050262451172,90.67704391479492,15365.29638671875
2052.0,861.1819610595703,1019.8209075927734,14194.362060546875,45.35406494140625,16120.718994140625
2053.0,1797.9064636230469,1707.25439453125,12388.902374267578,460.83642578125,16354.899658203125
2054.0,1631.7134094238281,1495.7367858886719,12985.685333251953,347.5236511230469,16460.6591796875
2055.0,1609.0507278442383,1593.9413757324219,14254.791564941406,264.4311752319336,17722.21484375
2056.0,1593.9422454833984,1631.7130737304688,14436.090362548828,377.7474822998047,18039.4931640625
2057.0,1631.7134552001953,1578.8330993652344,15153.740966796875,324.8687286376953,18689.15625
2058.0,2583.546173095703,2190.7218017578125,13197.200103759766,921.6515502929688,18893.11962890625
2059.0,2591.0999755859375,2190.7217407226562,13408.71694946289,1019.8592834472656,19210.39794921875
2060.0,2485.3408203125,2387.1305541992188,13975.28305053711,1057.6318054199219,19905.38623046875
2061.0,2651.532424926758,2296.4803771972656,14292.559875488281,1163.3921661376953,20403.96484375
2062.0,2742.184814453125,2515.5527954101562,13476.704772949219,936.7626953125,19671.205078125
2063.0,4192.590911865234,2863.046142578125,11233.101928710938,1941.4797668457031,20230.21875
2064.0,3799.77294921875,2795.0576782226562,11935.643737792969,2228.540283203125,20759.0146484375
2065.0,3988.6270751953125,2795.058349609375,11973.414733886719,2122.7821655273438,20879.88232421875
2066.0,4109.495025634766,2915.9244384765625,12169.82388305664,2183.2185668945312,21378.4619140625
2067.0,3814.8799743652344,3021.6852416992188,12562.642456054688,2122.7830505371094,21521.99072265625
2068.0,5371.044464111328,3565.5852661132812,9828.019592285156,3565.6451110839844,22330.29443359375
2069.0,5257.731048583984,3444.7183837890625,9314.33364868164,3867.8116455078125,21884.5947265625
2070.0,5484.358825683594,3580.6929321289062,10455.01821899414,3724.2854919433594,23244.35546875
2071.0,5121.754943847656,3376.7301025390625,10107.525268554688,3973.5736694335938,22579.583984375
2072.0,5310.610778808594,3505.1520385742188,10477.68099975586,3845.153350830078,23138.59716796875
2073.0,6534.391052246094,3807.3194580078125,6708.131927490234,6096.308441162109,23146.15087890625
2074.0,6013.1492919921875,3860.2003173828125,6972.528869628906,6262.501403808594,23108.3798828125
2075.0,6564.606201171875,3595.8021240234375,7093.396636962891,6028.322479248047,23282.12744140625
2076.0,6428.630798339844,3437.163818359375,7569.311584472656,6254.948974609375,23690.05517578125
2077.0,5794.078308105469,3573.139404296875,7289.806732177734,5869.679168701172,22526.70361328125
2078.0,7199.158386230469,3225.6449584960938,4132.148162841797,8740.28384399414,23297.2353515625
2079.0,7531.543395996094,3338.9580078125,4434.316436767578,9117.998077392578,24422.81591796875
2080.0,7116.061767578125,3384.2836303710938,5310.603546142578,9269.084747314453,25080.03369140625
2081.0,7947.023864746094,3104.7780151367188,4615.617126464844,9321.964782714844,24989.3837890625
2082.0,6738.351623535156,3029.23583984375,5121.748260498047,9639.239471435547,24528.5751953125
2083.0,6972.532287597656,2251.1524658203125,2288.9229736328125,12713.797546386719,24226.4052734375
2084.0,6919.652770996094,2810.1629638671875,2621.3074645996094,12947.98324584961,25299.1064453125
2085.0,7516.4345703125,2704.4044799804688,2606.19921875,12978.201477050781,25805.23974609375
