coverage_pct,cancers_baseline,cancers_scenario,cancers_averted,pct_averted,pct_averted_low,pct_averted_high
10,178536.63632822037,161996.65083789825,16539.985490322113,9.264196878849633,7.1746576776377,11.393147210038734
20,178536.63632822037,146812.6492099762,31723.98711824417,17.768894816592734,16.311604185285898,19.25367163741524
30,178536.63632822037,130975.20715093613,47561.42917728424,26.63959070554442,24.414376950620465,28.90677456970175
40,178536.63632822037,117706.20304965973,60830.43327856064,34.0716810451892,31.497648310795793,36.694263018860745
50,178536.63632822037,103904.62618684769,74632.01014137268,41.802070250819426,39.337580711913105,44.313042917435865
60,178536.63632822037,93982.14633178711,84554.48999643326,47.359741807271945,44.79853654427573,49.969254368575676
70,178536.63632822037,85612.06047964096,92924.5758485794,52.04790330974287,48.87318854399882,55.28249687374092
80,178536.63632822037,75326.97819471359,103209.65813350677,57.80867179762866,55.51797307674852,60.14257575006168
90,178536.63632822037,71209.92382526398,107326.71250295639,60.11467153758167,57.89317622175645,62.37806682857123
