cohort,n_total,pct_never_infected,pct_currently_infected,pct_previously_infected,pct_cin,pct_cancerous,pct_sexually_active,pct_zero_partners,pct_one_partner,pct_multiple_partners,mean_partners,n_n_total,n_n_never_infected,n_n_currently_infected,n_n_previously_infected,n_n_cin,n_n_cancerous,n_n_sexually_active,n_n_zero_partners,n_n_one_partner,n_n_multiple_partners
0-10,9192,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9192,9192,0,0,0,0,0,9192,0,0
10-15,4495,99.97775305895439,0.02224694104560623,0.0,0.0,0.0,1.0011123470522802,98.99888765294772,0.8231368186874305,0.17797552836484984,0.011790878754171301,4495,4494,1,0,0,0,45,4450,37,8
15-20,4539,93.61092751707424,5.52985239039436,0.8592200925313945,1.1235955056179776,0.0,32.71645736946464,67.28354263053536,19.035029742233974,13.681427627230667,0.5296320775501212,4539,4249,251,39,51,0,1485,3054,864,621
20-25,4551,73.82992748846408,22.47857613711272,3.691496374423204,6.504065040650406,0.08789277081960009,83.14656119534169,16.853438804658317,28.87277521423863,54.27378598110305,1.8657437925730609,4551,3360,1023,168,296,4,3784,767,1314,2470
25-30,4866,51.10974106041924,41.77969584874641,7.1105630908343604,17.838060008220303,1.3974517057131113,98.84915741882449,1.1508425811755034,23.22235922729141,75.62679819153308,2.709206740649404,4866,2487,2033,346,868,68,4810,56,1130,3680
30-35,5114,36.23386781384435,54.45834962847086,9.307782557684787,24.931560422369966,3.8130621822448183,99.90222917481424,0.09777082518576456,17.696519358623387,82.20570981619085,3.0578803285099725,5114,1853,2785,476,1275,195,5109,5,905,4204
35-40,5803,21.178700672066174,68.3956574185766,10.425641909357228,34.13751507840772,7.0308461140789245,100.0,0.0,11.252800275719455,88.74719972428055,3.8686886093399964,5803,1229,3969,605,1981,408,5803,0,653,5150
40-45,6098,11.446375860938012,79.61626762873072,8.937356510331256,40.40669071826829,9.019350606756314,99.91800590357494,0.0819940964250574,8.150213184650704,91.76779271892424,4.240078714332568,6098,698,4855,545,2464,550,6093,5,497,5596
45-50,5662,6.110914871070293,84.79335923701872,9.095725891910986,42.140586365241965,10.50865418580007,100.0,0.0,5.616389968209114,94.38361003179088,4.949841045566937,5662,346,4801,515,2386,595,5662,0,318,5344
50-55,5915,2.3330515638207947,89.73795435333896,7.928994082840236,49.163144547759934,13.068469991546914,99.98309382924768,0.0169061707523246,4.497041420118343,95.48605240912933,5.547759932375317,5915,138,5308,469,2908,773,5914,1,266,5648
55-60,5038,1.1710996427153633,91.24652639936483,7.58237395791981,49.741961095672885,15.680825724493847,99.92060341405319,0.0793965859468043,3.1361651448987695,96.78443826915442,6.212782850337436,5038,59,4597,382,2506,790,5034,4,158,4876
