coverage,location,scenario,metric,value,low,high
30,kenya,Catch-up 10-50: TTV,vaccinations,4806800.5000,,
30,kenya,Catch-up 10-50: V,cancers,302573.2178,295783.4791,309362.9566
30,kenya,Catch-up 10-50: V,cancer_deaths,267257.1901,261494.8268,273019.5533
30,kenya,Catch-up 10-50: V,vaccinations,4806800.5000,,
30,kenya,Catch-up 10-50: TT,cancers,351924.9767,345673.0992,358176.8543
30,kenya,Catch-up 10-50: TT,cancer_deaths,304779.0349,298654.0669,310904.0029
30,kenya,Catch-up 10-50: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-55: TTV,cancers,282165.4754,275656.7543,288674.1965
30,kenya,Catch-up 10-55: TTV,cancer_deaths,251238.4526,244862.6860,257614.2192
30,kenya,Catch-up 10-55: TTV,vaccinations,5087221.5000,,
30,kenya,Catch-up 10-55: V,cancers,303717.6812,297535.3023,309900.0600
30,kenya,Catch-up 10-55: V,cancer_deaths,268564.0726,262928.6196,274199.5256
30,kenya,Catch-up 10-55: V,vaccinations,5087221.5000,,
30,kenya,Catch-up 10-55: TT,cancers,352597.3023,346121.8187,359072.7859
30,kenya,Catch-up 10-55: TT,cancer_deaths,306176.5681,300492.7678,311860.3683
30,kenya,Catch-up 10-55: TT,vaccinations,0.0000,,
30,kenya,Catch-up 10-60: TTV,cancers,280907.6980,275084.9015,286730.4946
30,kenya,Catch-up 10-60: TTV,cancer_deaths,249791.8179,244041.5414,255542.0944
30,kenya,Catch-up 10-60: TTV,vaccinations,5229716.5000,,
30,kenya,Catch-up 10-60: V,cancers,300888.6236,293548.9381,308228.3092
30,kenya,Catch-up 10-60: V,cancer_deaths,265931.4234,259815.5213,272047.3256
30,kenya,Catch-up 10-60: V,vaccinations,5229716.5000,,
30,kenya,Catch-up 10-60: TT,cancers,351290.4232,342983.7953,359597.0510
30,kenya,Catch-up 10-60: TT,cancer_deaths,306029.2609,300251.7890,311806.7327
30,kenya,Catch-up 10-60: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-20: TTV,cancers,352193.1521,344638.9277,359747.3764
30,kenya,Catch-up 15-20: TTV,cancer_deaths,307464.5647,300514.6758,314414.4535
30,kenya,Catch-up 15-20: TTV,vaccinations,911515.7500,,
30,kenya,Catch-up 15-20: V,cancers,351063.7947,344546.0084,357581.5809
30,kenya,Catch-up 15-20: V,cancer_deaths,305406.0380,299389.8510,311422.2249
30,kenya,Catch-up 15-20: V,vaccinations,911515.7500,,
30,kenya,Catch-up 15-20: TT,cancers,368200.5596,360906.1996,375494.9196
30,kenya,Catch-up 15-20: TT,cancer_deaths,319373.8048,312203.3318,326544.2778
30,kenya,Catch-up 15-20: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-25: TTV,cancers,328929.9100,321958.8698,335900.9502
30,kenya,Catch-up 15-25: TTV,cancer_deaths,287445.8631,281360.1780,293531.5482
30,kenya,Catch-up 15-25: TTV,vaccinations,1763443.7500,,
30,kenya,Catch-up 15-25: V,cancers,333549.3202,326387.9142,340710.7262
30,kenya,Catch-up 15-25: V,cancer_deaths,291600.6870,285678.1729,297523.2011
30,kenya,Catch-up 15-25: V,vaccinations,1763443.7500,,
30,kenya,Catch-up 15-25: TT,cancers,365171.3138,357592.9137,372749.7138
30,kenya,Catch-up 15-25: TT,cancer_deaths,315789.3234,310017.8935,321560.7532
30,kenya,Catch-up 15-25: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-30: TTV,cancers,318304.8936,311034.7063,325575.0810
30,kenya,Catch-up 15-30: TTV,cancer_deaths,279177.7576,272992.3556,285363.1597
30,kenya,Catch-up 15-30: TTV,vaccinations,2525695.7500,,
30,kenya,Catch-up 15-30: V,cancers,321708.0715,315087.5485,328328.5944
30,kenya,Catch-up 15-30: V,cancer_deaths,282006.8182,275999.6966,288013.9397
30,kenya,Catch-up 15-30: V,vaccinations,2525695.7500,,
30,kenya,Catch-up 15-30: TT,cancers,362410.2416,355161.2059,369659.2773
30,kenya,Catch-up 15-30: TT,cancer_deaths,314089.6201,307441.9003,320737.3400
30,kenya,Catch-up 15-30: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-35: TTV,cancers,307812.0727,300995.1388,314629.0067
30,kenya,Catch-up 15-35: TTV,cancer_deaths,270898.3269,264694.7961,277101.8577
30,kenya,Catch-up 15-35: TTV,vaccinations,3120251.0000,,
30,kenya,Catch-up 15-35: V,cancers,316692.0655,309630.3757,323753.7553
30,kenya,Catch-up 15-35: V,cancer_deaths,277780.2283,270960.2719,284600.1847
30,kenya,Catch-up 15-35: V,vaccinations,3120251.0000,,
30,kenya,Catch-up 15-35: TT,cancers,366833.2434,359550.9704,374115.5165
30,kenya,Catch-up 15-35: TT,cancer_deaths,318784.5735,312067.3545,325501.7924
30,kenya,Catch-up 15-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-40: TTV,cancers,302229.4995,295575.7384,308883.2605
30,kenya,Catch-up 15-40: TTV,cancer_deaths,265716.1266,259591.1601,271841.0931
30,kenya,Catch-up 15-40: TTV,vaccinations,3625191.0000,,
30,kenya,Catch-up 15-40: V,cancers,313466.4110,307540.8776,319391.9443
30,kenya,Catch-up 15-40: V,cancer_deaths,275997.4305,269636.7700,282358.0910
30,kenya,Catch-up 15-40: V,vaccinations,3625191.0000,,
30,kenya,Catch-up 15-40: TT,cancers,356529.2776,349875.5162,363183.0390
30,kenya,Catch-up 15-40: TT,cancer_deaths,309632.6281,302543.7419,316721.5142
30,kenya,Catch-up 15-40: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-45: TTV,cancers,294837.6887,287576.5670,302098.8103
30,kenya,Catch-up 15-45: TTV,cancer_deaths,260745.4457,254402.9182,267087.9731
30,kenya,Catch-up 15-45: TTV,vaccinations,4023752.0000,,
30,kenya,Catch-up 15-45: V,cancers,311154.8186,304485.9492,317823.6881
30,kenya,Catch-up 15-45: V,cancer_deaths,274327.9465,268426.5839,280229.3091
30,kenya,Catch-up 15-45: V,vaccinations,4023752.0000,,
30,kenya,Catch-up 15-45: TT,cancers,353409.3835,345565.0761,361253.6909
30,kenya,Catch-up 15-45: TT,cancer_deaths,306958.4297,300703.5288,313213.3305
30,kenya,Catch-up 15-45: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-50: TTV,cancers,294565.7380,288126.5163,301004.9596
