location,coverage,scenario,year,metric,value,low,high
kenya,70,No interventions,2084.0000,asr_cancer_incidence,24.8093,24.0259,26.1038
kenya,70,No interventions,2085.0000,asr_cancer_incidence,25.1261,24.8986,25.5803
kenya,70,No interventions,2086.0000,asr_cancer_incidence,24.7374,23.2980,25.3999
kenya,70,No interventions,2087.0000,asr_cancer_incidence,24.9025,23.4508,25.4089
kenya,70,No interventions,2088.0000,asr_cancer_incidence,24.9497,24.1005,25.4970
kenya,70,No interventions,2089.0000,asr_cancer_incidence,24.6466,24.1470,25.8171
kenya,70,No interventions,2090.0000,asr_cancer_incidence,23.8482,23.3634,25.0617
kenya,70,No interventions,2091.0000,asr_cancer_incidence,24.4834,23.8164,24.6687
kenya,70,No interventions,2092.0000,asr_cancer_incidence,24.5162,23.5173,24.9308
kenya,70,No interventions,2093.0000,asr_cancer_incidence,23.5644,23.4388,24.2765
kenya,70,No interventions,2094.0000,asr_cancer_incidence,24.4999,23.1675,24.9058
kenya,70,No interventions,2095.0000,asr_cancer_incidence,24.4654,23.8223,25.1785
kenya,70,No interventions,2096.0000,asr_cancer_incidence,24.0589,23.3251,24.6142
kenya,70,No interventions,2097.0000,asr_cancer_incidence,24.2841,23.5277,24.7752
kenya,70,No interventions,2098.0000,asr_cancer_incidence,24.4719,23.3007,25.0602
kenya,70,No interventions,2099.0000,asr_cancer_incidence,24.0563,23.4282,24.9968
kenya,70,No interventions,2100.0000,asr_cancer_incidence,23.8511,23.6116,24.9420
kenya,70,No interventions,2020.0000,cancers,4759.1627,4608.0781,4914.0242
kenya,70,No interventions,2021.0000,cancers,5087.7714,5008.4523,5321.9525
kenya,70,No interventions,2022.0000,cancers,5046.2233,4849.8134,5363.5007
kenya,70,No interventions,2023.0000,cancers,5340.8380,5000.8980,5775.2062
kenya,70,No interventions,2024.0000,cancers,5352.1693,5246.4103,5865.8567
kenya,70,No interventions,2025.0000,cancers,5586.3504,5352.1694,5763.8748
kenya,70,No interventions,2026.0000,cancers,5930.0676,5510.8081,6164.2487
kenya,70,No interventions,2027.0000,cancers,6069.8210,5843.1944,6217.1284
kenya,70,No interventions,2028.0000,cancers,6130.2547,5654.3384,6432.4239
kenya,70,No interventions,2029.0000,cancers,6100.0378,5533.4708,6360.6586
kenya,70,No interventions,2030.0000,cancers,6455.0865,6292.6707,7017.8762
kenya,70,No interventions,2031.0000,cancers,6677.9362,6507.9659,6980.1052
kenya,70,No interventions,2032.0000,cancers,6844.1293,6568.4003,7066.9787
kenya,70,No interventions,2033.0000,cancers,7161.4070,6953.6656,7399.3647
kenya,70,No interventions,2034.0000,cancers,7369.1479,7157.6296,7667.5400
kenya,70,No interventions,2035.0000,cancers,7497.5695,7357.8168,8022.5884
kenya,70,No interventions,2036.0000,cancers,7739.3046,7399.3647,8249.2155
kenya,70,No interventions,2037.0000,cancers,7622.2144,7584.4436,8203.8901
kenya,70,No interventions,2038.0000,cancers,7947.0458,7524.0096,8524.9445
kenya,70,No interventions,2039.0000,cancers,8653.3660,8264.3237,9031.0775
kenya,70,No interventions,2040.0000,cancers,8460.7333,8101.9081,8951.7583
kenya,70,No interventions,2041.0000,cancers,8649.5891,8426.7393,9212.3791
kenya,70,No interventions,2042.0000,cancers,9227.4876,8808.2278,9726.0662
kenya,70,No interventions,2043.0000,cancers,9068.8485,8793.1190,9552.3192
kenya,70,No interventions,2044.0000,cancers,9714.7351,9340.8007,9967.8016
kenya,70,No interventions,2045.0000,cancers,9771.3917,9337.0232,10315.2961
kenya,70,No interventions,2046.0000,cancers,9990.4644,9737.3979,10232.1996
kenya,70,No interventions,2047.0000,cancers,9828.0481,9552.3191,10549.4771
kenya,70,No interventions,2048.0000,cancers,10432.3864,10156.6572,10889.4172
kenya,70,No interventions,2049.0000,cancers,10810.0980,10643.9052,11150.0381
kenya,70,No interventions,2050.0000,cancers,10723.2244,10356.8441,11218.0260
kenya,70,No interventions,2051.0000,cancers,11165.1472,10723.2245,11591.9604
kenya,70,No interventions,2052.0000,cancers,11588.1837,10889.4178,12003.6663
kenya,70,No interventions,2053.0000,cancers,11614.6234,11312.4541,11969.6722
kenya,70,No interventions,2054.0000,cancers,11984.7803,11161.3701,12082.9855
kenya,70,No interventions,2055.0000,cancers,12135.8650,11773.2626,12381.3770
kenya,70,No interventions,2056.0000,cancers,12094.3165,11780.8160,12150.9733
kenya,70,No interventions,2057.0000,cancers,12487.1364,11992.3350,12925.2817
kenya,70,No interventions,2058.0000,cancers,12479.5828,12086.7623,12751.5343
kenya,70,No interventions,2059.0000,cancers,12819.5229,12317.1665,13193.4569
kenya,70,No interventions,2060.0000,cancers,13065.0347,12702.4323,13280.3304
kenya,70,No interventions,2061.0000,cancers,12970.6071,12793.0826,13049.9265
kenya,70,No interventions,2062.0000,cancers,13510.7341,13250.1135,13850.6746
kenya,70,No interventions,2063.0000,cancers,13661.8186,13333.2103,13778.9095
kenya,70,No interventions,2064.0000,cancers,13601.3851,13163.2402,13797.7953
kenya,70,No interventions,2065.0000,cancers,13658.0416,13431.4150,13956.4338
kenya,70,No interventions,2066.0000,cancers,13933.7712,13420.0839,14183.0601
kenya,70,No interventions,2067.0000,cancers,14047.0839,13850.6748,14485.2294
kenya,70,No interventions,2068.0000,cancers,14092.4093,13839.3436,14315.2595
kenya,70,No interventions,2069.0000,cancers,14632.5367,14247.2714,14855.3868
kenya,70,No interventions,2070.0000,cancers,14572.1028,14300.1512,14655.1998
kenya,70,No interventions,2071.0000,cancers,14402.1327,14171.7291,14942.2600
kenya,70,No interventions,2072.0000,cancers,14772.2903,14273.7113,15082.0134
kenya,70,No interventions,2073.0000,cancers,14844.0552,14560.7720,15134.8929
kenya,70,No interventions,2074.0000,cancers,14760.9589,14455.0123,15285.9778
kenya,70,No interventions,2075.0000,cancers,15191.5496,14564.5487,15433.2848
kenya,70,No interventions,2076.0000,cancers,15119.7844,14817.6156,15403.0680
kenya,70,No interventions,2077.0000,cancers,14798.7302,14723.1879,15705.2369
kenya,70,No interventions,2078.0000,cancers,15199.1038,15127.3387,15342.6338
kenya,70,No interventions,2079.0000,cancers,15403.0673,15244.4294,15799.6646
kenya,70,No interventions,2080.0000,cancers,15274.6459,15112.2299,16226.4784
kenya,70,No interventions,2081.0000,cancers,15535.2668,15183.9954,15935.6406
kenya,70,No interventions,2082.0000,cancers,15501.2727,14949.8142,16271.8032
