location,scenario,cohort,value,low,high
kenya,Catch-up 10-30 70%,25_30,28615.4158,27920.4266,29310.4049
kenya,Catch-up 10-30 70%,30_35,36003.4526,34589.3008,37417.6045
kenya,Catch-up 10-30 70%,35_40,31448.2528,30886.2181,32010.2874
kenya,Catch-up 10-30 70%,40_45,22930.8595,22196.5884,23665.1306
kenya,Catch-up 10-30 70%,45_50,17329.3990,17232.7049,17426.0931
kenya,Catch-up 10-30 70%,50_55,12128.3125,12113.2041,12143.4209
kenya,Catch-up 10-30 70%,55_60,8071.6918,8026.3665,8117.0172
kenya,Catch-up 10-30 80%,10_15,11947.0096,11593.4718,12300.5475
kenya,Catch-up 10-30 80%,15_20,16721.2814,16373.7869,17068.7758
kenya,Catch-up 10-30 80%,20_25,20256.6606,19661.3874,20851.9339
kenya,Catch-up 10-30 80%,25_30,26402.0266,26202.5949,26601.4582
kenya,Catch-up 10-30 80%,30_35,35089.3909,33632.9354,36545.8464
kenya,Catch-up 10-30 80%,35_40,31028.9930,30995.7543,31062.2316
kenya,Catch-up 10-30 80%,40_45,22881.7570,22470.8069,23292.7071
kenya,Catch-up 10-30 80%,45_50,17488.0378,17421.5605,17554.5150
kenya,Catch-up 10-30 80%,50_55,12415.3732,12351.9176,12478.8288
kenya,Catch-up 10-30 80%,55_60,8101.9088,8026.3666,8177.4511
kenya,Catch-up 10-30 90%,10_15,11690.1660,11505.8428,11874.4891
kenya,Catch-up 10-30 90%,15_20,14534.3325,14473.8987,14594.7663
kenya,Catch-up 10-30 90%,20_25,19066.8695,18160.3620,19973.3770
kenya,Catch-up 10-30 90%,25_30,25918.5559,25737.2543,26099.8574
kenya,Catch-up 10-30 90%,30_35,35417.9999,34260.6919,36575.3078
kenya,Catch-up 10-30 90%,35_40,30843.9144,30565.9188,31121.9100
kenya,Catch-up 10-30 90%,40_45,22432.2804,22399.0418,22465.5191
kenya,Catch-up 10-30 90%,45_50,17374.7243,17308.2471,17441.2014
kenya,Catch-up 10-30 90%,50_55,12339.8309,12336.8092,12342.8526
kenya,Catch-up 10-30 90%,55_60,7886.6133,7729.4854,8043.7412
