age_range,lower,upper,intervention,cancers_averted,doses
10-30,10,30,V,102869.68447446823,6772327.5
10-35,10,35,V,120183.9724726677,8190097.5
10-40,10,40,V,132791.97712755203,9419351.0
10-45,10,45,V,141989.24834823608,10349800.0
10-50,10,50,V,142801.3277373314,11112805.0
10-55,10,55,V,146431.13375091553,11758836.0
10-60,10,60,V,144886.29435491562,12206370.0
15-20,15,20,V,24558.791571617126,2090844.125
15-25,15,25,V,59009.84323644638,4087894.5
15-30,15,30,V,85215.45626688004,5783018.5
15-35,15,35,V,103171.85354948044,7172656.5
15-40,15,40,V,115330.38170528412,8405393.0
15-45,15,45,V,121713.70341491699,9337646.0
15-50,15,50,V,125203.75623130798,10141566.0
15-55,15,55,V,126608.84243011475,10716246.0
15-60,15,60,V,127496.4640879631,11199219.0
20-25,20,25,V,24524.797550678253,2032653.75
20-30,20,30,V,47829.58746099472,3716196.5
20-35,20,35,V,67089.08887958527,5138416.0
20-40,20,40,V,76588.52917528152,6312570.0
20-45,20,45,V,85260.78162813187,7283590.5
20-50,20,50,V,85910.44513940811,8071103.5
20-55,20,55,V,88826.37671327591,8692378.0
20-60,20,60,V,89619.57053518295,9127842.0
25-30,25,30,V,18288.78326511383,1725310.125
25-35,25,35,V,32475.62133693695,3149894.0
25-40,25,40,V,44936.31856775284,4329925.0
25-45,25,45,V,50866.3866648674,5297508.5
25-50,25,50,V,54722.81948471069,6060455.5
25-55,25,55,V,55108.08505535126,6663818.0
25-60,25,60,V,56550.942388534546,7143414.0
30-35,30,35,V,12177.413722991943,1448848.0
30-40,30,40,V,23112.157124996185,2648633.25
30-45,30,45,V,29597.46089744568,3603336.5
30-50,30,50,V,31920.38566160202,4375582.5
30-55,30,55,V,32271.65721130371,4992944.0
30-60,30,60,V,32936.42917633057,5440600.5
35-40,35,40,V,7935.715332508087,1237473.25
35-45,35,45,V,13624.048169612885,2206620.25
35-50,35,50,V,17333.173565387726,2981767.25
35-55,35,55,V,17518.252123832703,3566056.25
35-60,35,60,V,18647.609041690826,4020050.5
40-45,40,45,V,5091.5489139556885,977003.375
40-50,40,50,V,7335.154295921326,1767953.75
40-55,40,55,V,8211.444613456726,2376507.25
40-60,40,60,V,9223.71101474762,2841432.25
45-50,45,50,V,1352.2066106796265,772835.3125
45-55,45,55,V,3221.8777623176575,1401324.375
45-60,45,60,V,3709.1253957748413,1869301.25
50-55,50,55,V,978.2723803520203,613992.5625
50-60,50,60,V,1801.6831097602844,1094177.0
55-60,55,60,V,649.6635112762451,481461.125
