coverage,location,scenario,cohort,value,low,high
30,kenya,No interventions,10_15,92939.6585,92571.0137,93308.3034
30,kenya,No interventions,15_20,90439.2095,89865.0893,91013.3298
30,kenya,No interventions,20_25,79614.0118,78876.7196,80351.3039
30,kenya,No interventions,25_30,69400.7000,69346.3092,69455.0908
30,kenya,No interventions,30_35,57007.9876,55614.9880,58400.9871
30,kenya,No interventions,35_40,46983.5259,45910.8253,48056.2265
30,kenya,No interventions,40_45,35342.4586,35158.1355,35526.7818
30,kenya,No interventions,45_50,23391.6680,22868.9152,23914.4207
30,kenya,No interventions,50_55,15270.8719,15146.9825,15394.7613
30,kenya,No interventions,55_60,9669.4113,9615.0209,9723.8016
30,kenya,Baseline,10_15,30783.4790,29943.4488,31623.5092
30,kenya,Baseline,15_20,55682.2196,55422.3541,55942.0852
30,kenya,Baseline,20_25,60124.1066,59900.5015,60347.7117
30,kenya,Baseline,25_30,54092.0548,53551.1719,54632.9376
30,kenya,Baseline,30_35,46926.8686,46062.6647,47791.0724
30,kenya,Baseline,35_40,37929.7817,37633.6559,38225.9075
30,kenya,Baseline,40_45,29986.5100,29469.8006,30503.2193
30,kenya,Baseline,45_50,19686.3185,19172.6309,20200.0061
30,kenya,Baseline,50_55,14296.3763,14257.0943,14335.6583
30,kenya,Baseline,55_60,9703.4053,9658.0799,9748.7307
30,kenya,Catch-up 10-15: TTV,10_15,28736.2828,28379.7232,29092.8424
30,kenya,Catch-up 10-15: TTV,15_20,57023.0953,55454.8372,58591.3534
30,kenya,Catch-up 10-15: TTV,20_25,58133.5671,56595.5260,59671.6082
30,kenya,Catch-up 10-15: TTV,25_30,53272.4208,52788.9502,53755.8914
30,kenya,Catch-up 10-15: TTV,30_35,46892.8746,45910.8248,47874.9244
30,kenya,Catch-up 10-15: TTV,35_40,38401.9210,37758.3007,39045.5413
30,kenya,Catch-up 10-15: TTV,40_45,28860.9297,28434.8711,29286.9882
30,kenya,Catch-up 10-15: TTV,45_50,19943.1623,19574.5158,20311.8087
30,kenya,Catch-up 10-15: TTV,50_55,14156.6231,14108.2760,14204.9702
30,kenya,Catch-up 10-15: TTV,55_60,9439.0073,9417.8555,9460.1592
30,kenya,Catch-up 10-15: V,10_15,27629.5882,27535.9159,27723.2606
30,kenya,Catch-up 10-15: V,15_20,54303.5727,53581.3883,55025.7571
30,kenya,Catch-up 10-15: V,20_25,60082.5584,59837.8014,60327.3154
30,kenya,Catch-up 10-15: V,25_30,52807.8357,52593.2956,53022.3759
30,kenya,Catch-up 10-15: V,30_35,45563.3301,44986.1870,46140.4733
30,kenya,Catch-up 10-15: V,35_40,37336.7747,37055.7573,37617.7920
30,kenya,Catch-up 10-15: V,40_45,29359.5088,28667.5414,30051.4762
30,kenya,Catch-up 10-15: V,45_50,20343.5364,19805.6752,20881.3976
30,kenya,Catch-up 10-15: V,50_55,14186.8400,14102.2326,14271.4474
30,kenya,Catch-up 10-15: V,55_60,9491.8869,9325.6939,9658.0799
30,kenya,Catch-up 10-15: TT,10_15,32260.3309,32227.0923,32293.5695
30,kenya,Catch-up 10-15: TT,15_20,54027.8433,53876.7587,54178.9278
30,kenya,Catch-up 10-15: TT,20_25,59946.5822,59701.8253,60191.3392
30,kenya,Catch-up 10-15: TT,25_30,54212.9224,54149.4669,54276.3780
30,kenya,Catch-up 10-15: TT,30_35,46080.7949,45718.1919,46443.3979
30,kenya,Catch-up 10-15: TT,35_40,38866.5062,38600.5973,39132.4150
30,kenya,Catch-up 10-15: TT,40_45,29484.1536,28958.3792,30009.9280
30,kenya,Catch-up 10-15: TT,45_50,19909.1681,19610.0207,20208.3156
30,kenya,Catch-up 10-15: TT,50_55,14281.2678,14260.1160,14302.4197
30,kenya,Catch-up 10-15: TT,55_60,9314.3625,9314.3625,9314.3625
30,kenya,Catch-up 10-20: TTV,10_15,23716.4976,23526.1310,23906.8642
30,kenya,Catch-up 10-20: TTV,15_20,43863.6274,43830.3888,43896.8660
30,kenya,Catch-up 10-20: TTV,20_25,56600.0586,54638.9806,58561.1365
30,kenya,Catch-up 10-20: TTV,25_30,52966.4746,52957.4095,52975.5397
30,kenya,Catch-up 10-20: TTV,30_35,46122.3431,46077.0177,46167.6685
30,kenya,Catch-up 10-20: TTV,35_40,38628.5479,38438.1813,38818.9145
30,kenya,Catch-up 10-20: TTV,40_45,29125.3278,28681.1390,29569.5165
30,kenya,Catch-up 10-20: TTV,45_50,20143.3493,19614.5532,20672.1454
30,kenya,Catch-up 10-20: TTV,50_55,14334.1474,14270.6920,14397.6029
30,kenya,Catch-up 10-20: TTV,55_60,9439.0073,9435.9856,9442.0290
30,kenya,Catch-up 10-20: V,10_15,23629.6238,23520.8429,23738.4047
30,kenya,Catch-up 10-20: V,15_20,42428.3237,41561.0982,43295.5493
30,kenya,Catch-up 10-20: V,20_25,57638.7652,55541.7110,59735.8194
30,kenya,Catch-up 10-20: V,25_30,51897.5511,51831.0739,51964.0283
30,kenya,Catch-up 10-20: V,30_35,46065.6864,45666.8230,46464.5498
30,kenya,Catch-up 10-20: V,35_40,37336.7747,36892.5859,37780.9634
30,kenya,Catch-up 10-20: V,40_45,28962.9117,28896.4344,29029.3890
30,kenya,Catch-up 10-20: V,45_50,20317.0965,19770.1703,20864.0228
30,kenya,Catch-up 10-20: V,50_55,14353.0330,14177.7749,14528.2911
30,kenya,Catch-up 10-20: V,55_60,9503.2182,9394.4373,9611.9991
30,kenya,Catch-up 10-20: TT,10_15,31723.9807,31491.3104,31956.6509
30,kenya,Catch-up 10-20: TT,15_20,54477.3200,54021.0445,54933.5955
30,kenya,Catch-up 10-20: TT,20_25,60003.2389,58540.7401,61465.7377
30,kenya,Catch-up 10-20: TT,25_30,52804.0587,52731.5381,52876.5793
30,kenya,Catch-up 10-20: TT,30_35,45990.1441,44739.1637,47241.1246
30,kenya,Catch-up 10-20: TT,35_40,38356.5956,37797.5826,38915.6086
30,kenya,Catch-up 10-20: TT,40_45,29359.5088,29271.8798,29447.1379
30,kenya,Catch-up 10-20: TT,45_50,19973.3791,19804.1643,20142.5939
30,kenya,Catch-up 10-20: TT,50_55,14160.4002,14036.5108,14284.2895
30,kenya,Catch-up 10-20: TT,55_60,9397.4591,9367.2422,9427.6760
30,kenya,Catch-up 10-25: TTV,10_15,21880.8198,21497.0650,22264.5746
30,kenya,Catch-up 10-25: TTV,15_20,38881.6130,38144.3201,39618.9058
30,kenya,Catch-up 10-25: TTV,20_25,43920.2842,42675.3472,45165.2213
30,kenya,Catch-up 10-25: TTV,25_30,50439.5848,50421.4546,50457.7150
30,kenya,Catch-up 10-25: TTV,30_35,44811.6842,44606.2092,45017.1591
30,kenya,Catch-up 10-25: TTV,35_40,37782.4742,37761.3224,37803.6261
30,kenya,Catch-up 10-25: TTV,40_45,29827.8710,29649.5912,30006.1509
30,kenya,Catch-up 10-25: TTV,45_50,20320.8736,19976.4007,20665.3465
30,kenya,Catch-up 10-25: TTV,50_55,14368.1415,14277.4907,14458.7922
30,kenya,Catch-up 10-25: TTV,55_60,9405.0132,9380.8397,9429.1868
30,kenya,Catch-up 10-25: V,10_15,23516.3103,23419.6162,23613.0045
30,kenya,Catch-up 10-25: V,15_20,39523.7225,38816.6466,40230.7984
30,kenya,Catch-up 10-25: V,20_25,45555.7749,44561.6383,46549.9115
30,kenya,Catch-up 10-25: V,25_30,51957.9849,51776.6834,52139.2864
30,kenya,Catch-up 10-25: V,30_35,44943.8834,44693.0829,45194.6838
30,kenya,Catch-up 10-25: V,35_40,37816.4682,36831.3966,38801.5398
30,kenya,Catch-up 10-25: V,40_45,29049.7854,28956.1130,29143.4579
30,kenya,Catch-up 10-25: V,45_50,20090.4697,19724.8450,20456.0944
30,kenya,Catch-up 10-25: V,50_55,14296.3763,14245.0076,14347.7450
30,kenya,Catch-up 10-25: V,55_60,9371.0192,9349.8674,9392.1711
30,kenya,Catch-up 10-25: TT,10_15,32785.3498,32755.1329,32815.5668
30,kenya,Catch-up 10-25: TT,15_20,55973.0575,55432.1746,56513.9404
30,kenya,Catch-up 10-25: TT,20_25,59251.5932,59224.3981,59278.7884
30,kenya,Catch-up 10-25: TT,25_30,53710.5662,53166.6617,54254.4707
30,kenya,Catch-up 10-25: TT,30_35,46522.7173,45661.5351,47383.8995
30,kenya,Catch-up 10-25: TT,35_40,37997.7698,37846.6852,38148.8544
30,kenya,Catch-up 10-25: TT,40_45,29669.2322,29515.1259,29823.3385
30,kenya,Catch-up 10-25: TT,45_50,19795.8548,19242.8851,20348.8244
30,kenya,Catch-up 10-25: TT,50_55,14345.4788,14315.2618,14375.6958
30,kenya,Catch-up 10-25: TT,55_60,9446.5615,9383.1060,9510.0170
30,kenya,Catch-up 10-30: TTV,10_15,22386.9531,22299.3240,22474.5822
30,kenya,Catch-up 10-30: TTV,15_20,36962.8387,36835.9277,37089.7497
30,kenya,Catch-up 10-30: TTV,20_25,42900.4632,42737.2919,43063.6345
30,kenya,Catch-up 10-30: TTV,25_30,40875.9302,40839.6698,40912.1905
30,kenya,Catch-up 10-30: TTV,30_35,43368.8265,42915.5727,43822.0803
30,kenya,Catch-up 10-30: TTV,35_40,36838.1955,36321.4861,37354.9049
30,kenya,Catch-up 10-30: TTV,40_45,28581.4232,28149.3212,29013.5251
30,kenya,Catch-up 10-30: TTV,45_50,19758.0836,19223.2442,20292.9231
30,kenya,Catch-up 10-30: TTV,50_55,14149.0688,14046.3313,14251.8063
30,kenya,Catch-up 10-30: TTV,55_60,9276.5914,9204.0708,9349.1120
30,kenya,Catch-up 10-30: V,10_15,22753.3331,22596.2052,22910.4611
30,kenya,Catch-up 10-30: V,15_20,37231.0138,36267.0941,38194.9335
30,kenya,Catch-up 10-30: V,20_25,42609.6254,41579.2284,43640.0223
30,kenya,Catch-up 10-30: V,25_30,43670.9951,43290.2620,44051.7283
30,kenya,Catch-up 10-30: V,30_35,43557.6822,43539.5520,43575.8123
30,kenya,Catch-up 10-30: V,35_40,37336.7746,37116.1911,37557.3581
30,kenya,Catch-up 10-30: V,40_45,29416.1655,29059.6059,29772.7252
30,kenya,Catch-up 10-30: V,45_50,20011.1502,19715.0244,20307.2760
30,kenya,Catch-up 10-30: V,50_55,14383.2499,14346.9896,14419.5102
30,kenya,Catch-up 10-30: V,55_60,9382.3506,9327.9601,9436.7410
30,kenya,Catch-up 10-30: TT,10_15,31644.6612,30659.5897,32629.7327
30,kenya,Catch-up 10-30: TT,15_20,55092.9898,53267.8879,56918.0916
30,kenya,Catch-up 10-30: TT,20_25,58847.4420,57699.1991,59995.6849
30,kenya,Catch-up 10-30: TT,25_30,52528.3292,52277.5288,52779.1297
30,kenya,Catch-up 10-30: TT,30_35,47138.3870,46630.7428,47646.0312
30,kenya,Catch-up 10-30: TT,35_40,38753.1927,38729.0192,38777.3662
30,kenya,Catch-up 10-30: TT,40_45,29929.8531,29518.9030,30340.8032
30,kenya,Catch-up 10-30: TT,45_50,19829.8488,19400.7685,20258.9290
30,kenya,Catch-up 10-30: TT,50_55,14322.8162,14195.9051,14449.7272
30,kenya,Catch-up 10-30: TT,55_60,9352.1337,9327.9601,9376.3072
30,kenya,Catch-up 10-35: TTV,10_15,21182.0535,20601.8888,21762.2182
30,kenya,Catch-up 10-35: TTV,15_20,37461.4178,36246.6977,38676.1378
30,kenya,Catch-up 10-35: TTV,20_25,42654.9507,41044.3889,44265.5125
30,kenya,Catch-up 10-35: TTV,25_30,39769.2355,39512.3917,40026.0793
30,kenya,Catch-up 10-35: TTV,30_35,36724.8816,35005.5390,38444.2242
30,kenya,Catch-up 10-35: TTV,35_40,36316.9537,36205.1511,36428.7563
30,kenya,Catch-up 10-35: TTV,40_45,28804.2729,28459.8001,29148.7457
30,kenya,Catch-up 10-35: TTV,45_50,19909.1682,19567.7170,20250.6193
30,kenya,Catch-up 10-35: TTV,50_55,13994.2071,13985.1421,14003.2722
