age_range,lower,upper,intervention,cancers_averted,doses
10-15,10,15,TT,283.2835078239441,0.0
10-20,10,20,TT,627.0008306503296,0.0
10-25,10,25,TT,1408.8633122444153,0.0
10-30,10,30,TT,9518.325862884521,0.0
10-35,10,35,TT,17280.29397726059,0.0
10-40,10,40,TT,27742.898199558258,0.0
10-45,10,45,TT,37450.07973432541,0.0
10-50,10,50,TT,45899.48249435425,0.0
10-55,10,55,TT,52652.961320877075,0.0
10-60,10,60,TT,59145.819320201874,0.0
15-20,15,20,TT,385.26557064056396,0.0
15-25,15,25,TT,2745.9614691734314,0.0
15-30,15,30,TT,10118.886899471283,0.0
15-35,15,35,TT,16985.679129123688,0.0
15-40,15,40,TT,27448.283351421356,0.0
15-45,15,45,TT,36894.84405899048,0.0
15-50,15,50,TT,46768.21858501434,0.0
15-55,15,55,TT,52263.91863679886,0.0
15-60,15,60,TT,58273.306116104126,0.0
20-25,20,25,TT,1979.207441329956,0.0
20-30,20,30,TT,8619.372864723206,0.0
20-35,20,35,TT,16547.533970355988,0.0
20-40,20,40,TT,27761.78376674652,0.0
20-45,20,45,TT,37385.868805885315,0.0
20-50,20,50,TT,44343.31175804138,0.0
20-55,20,55,TT,52516.98523712158,0.0
20-60,20,60,TT,57359.2446641922,0.0
25-30,25,30,TT,5899.851189613342,0.0
25-35,25,35,TT,13642.933736801147,0.0
25-40,25,40,TT,24460.58662223816,0.0
25-45,25,45,TT,34364.178055763245,0.0
25-50,25,50,TT,42998.65937423706,0.0
25-55,25,55,TT,50262.04851484299,0.0
25-60,25,60,TT,56380.97228384018,0.0
30-35,30,35,TT,7641.100484371185,0.0
30-40,30,40,TT,17782.650064468384,0.0
30-45,30,45,TT,27331.192834854126,0.0
30-50,30,50,TT,36377.379518032074,0.0
30-55,30,55,TT,43448.13587331772,0.0
30-60,30,60,TT,48260.178392887115,0.0
35-40,35,40,TT,9525.880089759827,0.0
35-45,35,45,TT,20037.58678674698,0.0
35-50,35,50,TT,28392.561710834503,0.0
35-55,35,55,TT,35451.98672580719,0.0
35-60,35,60,TT,41015.67481946945,0.0
40-45,40,45,TT,9627.862152576447,0.0
40-50,40,50,TT,17956.397282600403,0.0
40-55,40,55,TT,25480.407250404358,0.0
40-60,40,60,TT,30496.413895606995,0.0
45-50,45,50,TT,8407.85451221466,0.0
45-55,45,55,TT,15641.026745319366,0.0
45-60,45,60,TT,20910.099990844727,0.0
50-55,50,55,TT,7150.075737476349,0.0
50-60,50,60,TT,12574.010633945465,0.0
55-60,55,60,TT,5382.386648654938,0.0
10-15,10,15,TTV,12857.29414176941,1457210.5
10-20,10,20,TTV,48237.5157122612,4419563.0
10-25,10,25,TTV,87923.64660167694,7322479.5
10-30,10,30,TTV,121543.73331022263,9753369.0
10-35,10,35,TTV,147500.0568537712,11794666.0
10-40,10,40,TTV,170170.29170656204,13524137.0
10-45,10,45,TTV,186075.7163925171,14878014.0
10-50,10,50,TTV,197909.41279268265,15907361.0
10-55,10,55,TTV,206997.14772367477,16751155.0
10-60,10,60,TTV,211673.21415948868,17414392.0
15-20,15,20,TTV,30651.27554655075,2962353.0
15-25,15,25,TTV,69593.31508874893,5865268.5
15-30,15,30,TTV,102930.11828947067,8296159.0
15-35,15,35,TTV,128776.90554332733,10337455.0
15-40,15,40,TTV,151133.639980793,12066926.0
15-45,15,45,TTV,166634.91352891922,13420804.0
15-50,15,50,TTV,178782.11034440994,14450151.0
15-55,15,55,TTV,187144.63949537277,15293944.0
15-60,15,60,TTV,193339.10553312302,15957181.0
20-25,20,25,TTV,32026.144837856293,2902916.0
