age_range,lower,upper,intervention,cancers_averted,doses
20-30,20,30,TTV,65506.47834920883,5333806.5
20-35,20,35,TTV,90775.36724710464,7375102.0
20-40,20,40,TTV,112520.2093076706,9104574.0
20-45,20,45,TTV,129143.28554677963,10458451.0
20-50,20,50,TTV,141381.13308477402,11487798.0
20-55,20,55,TTV,148844.70923757553,12331591.0
20-60,20,60,TTV,155235.5851740837,12994828.0
25-30,25,30,TTV,27606.922115802765,2430890.0
25-35,25,35,TTV,52951.35328245163,4472186.0
25-40,25,40,TTV,75383.62998867035,6201658.5
25-45,25,45,TTV,91406.14519119263,7555534.5
25-50,25,50,TTV,102982.99787759781,8584882.0
25-55,25,55,TTV,111179.33403730392,9428673.0
25-60,25,60,TTV,117298.25780630112,10091912.0
30-35,30,35,TTV,21725.956493377686,2041296.0
30-40,30,40,TTV,43859.84123802185,3770768.25
30-45,30,45,TTV,59859.69375991821,5124644.5
30-50,30,50,TTV,71553.63696289062,6153991.5
30-55,30,55,TTV,79980.37704229355,6997784.0
30-60,30,60,TTV,85766.91482877731,7661022.5
35-40,35,40,TTV,19527.67647266388,1729472.5
35-45,35,45,TTV,35538.8603348732,3083348.75
35-50,35,50,TTV,46987.29116439819,4112695.5
35-55,35,55,TTV,55432.91681098938,4956487.5
35-60,35,60,TTV,61687.816663742065,5619726.0
40-45,40,45,TTV,14651.423024654388,1353876.25
40-50,40,50,TTV,26039.42003917694,2383223.0
40-55,40,55,TTV,34772.106307029724,3227015.25
40-60,40,60,TTV,40494.433165073395,3890254.0
45-50,45,50,TTV,10719.447936058044,1029346.625
45-55,45,55,TTV,19285.941212654114,1873139.0
45-60,45,60,TTV,25514.40127134323,2536377.25
50-55,50,55,TTV,8166.119252204895,843792.125
50-60,50,60,TTV,14130.181370258331,1507030.625
55-60,55,60,TTV,5654.338816165924,663238.5
10-15,10,15,V,13480.517858982086,1457210.5
10-20,10,20,V,47893.798389434814,4419563.0
10-25,10,25,V,84743.31708717346,7322479.5
10-30,10,30,V,113135.87879800797,9753369.0
10-35,10,35,V,130650.35380840302,11794666.0
10-40,10,40,V,143114.82815265656,13524137.0
10-45,10,45,V,150053.38553762436,14878014.0
10-50,10,50,V,152920.21463680267,15907361.0
10-55,10,55,V,154370.62619686127,16751155.0
10-60,10,60,V,154635.02413749695,17414392.0
15-20,15,20,V,30114.925438404083,2962353.0
15-25,15,25,V,66662.27506113052,5865268.5
15-30,15,30,V,93800.83511066437,8296159.0
15-35,15,35,V,111825.22043514252,10337455.0
15-40,15,40,V,123538.04920530319,12066926.0
15-45,15,45,V,130571.03442621231,13420804.0
15-50,15,50,V,133638.0505375862,14450151.0
15-55,15,55,V,134533.22642230988,15293944.0
15-60,15,60,V,134994.0342617035,15957181.0
20-25,20,25,V,29752.322548389435,2902916.0
20-30,20,30,V,56868.21991729736,5333806.5
20-35,20,35,V,74443.12874269485,7375102.0
20-40,20,40,V,86926.48865413666,9104574.0
20-45,20,45,V,93264.4850025177,10458451.0
20-50,20,50,V,96482.5856513977,11487798.0
20-55,20,55,V,96856.51988172531,12331591.0
20-60,20,60,V,98397.58216428757,12994828.0
25-30,25,30,V,21945.029072761536,2430890.0
25-35,25,35,V,38794.73211812973,4472186.0
25-40,25,40,V,51489.61038208008,6201658.5
25-45,25,45,V,58348.84838485718,7555534.5
25-50,25,50,V,61291.219752788544,8584882.0
25-55,25,55,V,61910.66635656357,9428673.0
25-60,25,60,V,62983.3665728569,10091912.0
30-35,30,35,V,13967.76549243927,2041296.0
30-40,30,40,V,25608.829107284546,3770768.25
30-45,30,45,V,32490.72979068756,5124644.5
30-50,30,50,V,35746.60157394409,6153991.5
30-55,30,55,V,36826.85601711273,6997784.0
30-60,30,60,V,37506.7364358902,7661022.5
35-40,35,40,V,9688.295967578888,1729472.5
35-45,35,45,V,16237.810668468475,3083348.75
35-50,35,50,V,19161.29646921158,4112695.5
35-55,35,55,V,20830.780608654022,4956487.5
35-60,35,60,V,21295.36556148529,5619726.0
40-45,40,45,V,4955.572830200195,1353876.25
40-50,40,50,V,7905.4984250068665,2383223.0
40-55,40,55,V,9439.006480693817,3227015.25
40-60,40,60,V,10111.332672595978,3890254.0
45-50,45,50,V,2375.804352283478,1029346.625
45-55,45,55,V,3750.67364358902,1873139.0
45-60,45,60,V,4143.493441104889,2536377.25
50-55,50,55,V,951.8325862884521,843792.125
50-60,50,60,V,1480.6284675598145,1507030.625
55-60,55,60,V,604.3381500244141,663238.5
