location,scenario,cohort,value,low,high
kenya,Baseline,10_15,36607.7898,36565.4861,36650.0935
kenya,Baseline,15_20,60075.0040,59552.2513,60597.7567
kenya,Baseline,20_25,62409.2610,60810.7860,64007.7359
kenya,Baseline,25_30,56135.4740,55893.7387,56377.2093
kenya,Baseline,30_35,46231.8796,45548.9772,46914.7819
kenya,Baseline,35_40,36721.1051,35427.8210,38014.3891
kenya,Baseline,40_45,26919.4928,26831.8638,27007.1218
kenya,Baseline,45_50,19289.7215,19280.6564,19298.7866
kenya,Baseline,50_55,12929.0608,12539.2626,13318.8590
kenya,Baseline,55_60,8358.7526,7733.2624,8984.2428
kenya,Catch-up 10-30 10%,10_15,33453.8990,33251.4456,33656.3524
kenya,Catch-up 10-30 10%,15_20,55618.0085,53795.9284,57440.0887
kenya,Catch-up 10-30 10%,20_25,56675.6008,55953.4165,57397.7852
kenya,Catch-up 10-30 10%,25_30,51663.3701,51445.8083,51880.9319
kenya,Catch-up 10-30 10%,30_35,44762.5819,44203.5689,45321.5948
kenya,Catch-up 10-30 10%,35_40,37181.9131,36589.6615,37774.1647
kenya,Catch-up 10-30 10%,40_45,27463.3973,27103.8160,27822.9786
kenya,Catch-up 10-30 10%,45_50,19667.4329,19567.7171,19767.1487
kenya,Catch-up 10-30 10%,50_55,13038.5972,12621.6038,13455.5905
kenya,Catch-up 10-30 10%,55_60,8135.9029,7567.8249,8703.9809
kenya,Catch-up 10-30 20%,10_15,30190.4718,30000.1052,30380.8384
kenya,Catch-up 10-30 20%,15_20,49140.2566,48318.3563,49962.1569
kenya,Catch-up 10-30 20%,20_25,51957.9844,51686.0322,52229.9367
kenya,Catch-up 10-30 20%,25_30,48664.3410,48295.6946,49032.9874
kenya,Catch-up 10-30 20%,30_35,44607.7202,43961.0782,45254.3622
kenya,Catch-up 10-30 20%,35_40,36996.8345,36026.8713,37966.7976
kenya,Catch-up 10-30 20%,40_45,27063.0232,26939.1338,27186.9125
kenya,Catch-up 10-30 20%,45_50,19255.7275,19219.4672,19291.9878
kenya,Catch-up 10-30 20%,50_55,12944.1693,12548.3278,13340.0108
kenya,Catch-up 10-30 20%,55_60,8260.5477,7755.9252,8765.1702
kenya,Catch-up 10-30 30%,10_15,27421.8467,26618.0767,28225.6168
kenya,Catch-up 10-30 30%,15_20,43735.2054,42674.5915,44795.8192
kenya,Catch-up 10-30 30%,20_25,45978.8118,45516.4930,46441.1306
kenya,Catch-up 10-30 30%,25_30,44860.7863,44156.7321,45564.8405
kenya,Catch-up 10-30 30%,30_35,43655.8873,43607.5403,43704.2344
kenya,Catch-up 10-30 30%,35_40,36362.2792,36129.6089,36594.9495
kenya,Catch-up 10-30 30%,40_45,26919.4928,26686.8225,27152.1630
kenya,Catch-up 10-30 30%,45_50,18719.3772,18689.1603,18749.5942
kenya,Catch-up 10-30 30%,50_55,12827.0788,12627.6471,13026.5104
kenya,Catch-up 10-30 30%,55_60,8294.5417,7768.7673,8820.3160
kenya,Catch-up 10-30 40%,10_15,25861.8983,25278.7118,26445.0847
kenya,Catch-up 10-30 40%,15_20,39342.4208,39155.0760,39529.7657
kenya,Catch-up 10-30 40%,20_25,41567.1417,40863.0875,42271.1958
kenya,Catch-up 10-30 40%,25_30,41967.5164,41819.4535,42115.5793
kenya,Catch-up 10-30 40%,30_35,43179.9708,42847.5847,43512.3569
kenya,Catch-up 10-30 40%,35_40,35788.1577,35114.3205,36461.9950
kenya,Catch-up 10-30 40%,40_45,27202.7764,26683.0454,27722.5074
kenya,Catch-up 10-30 40%,45_50,19444.5832,19299.5420,19589.6244
kenya,Catch-up 10-30 40%,50_55,12872.4041,12612.5387,13132.2696
kenya,Catch-up 10-30 40%,55_60,8381.4153,7780.0987,8982.7319
kenya,Catch-up 10-30 50%,10_15,22753.3330,22529.7279,22976.9381
